feature,gain
bld_courtyard_fraction_scaled,0.18143394703280888
urb_meshedness_scaled,0.171536857017361
gee_water_fraction_scaled,0.15516334680086824
urb_population_children_density_scaled,0.10115987023381381
urb_network_degree_scaled,0.0400854443335864
urb_node_count_scaled,0.03909126547891696
gee_land_cover_scaled,0.028765301562799647
gee_albedo_scaled,0.027507983949788557
gee_impervious_fraction_300m_scaled,0.025906198935942884
urb_street_length_scaled,0.018447596821660063
bld_age_1950_1990_share_scaled,0.018318668367821537
urb_edge_count_scaled,0.01711423112793565
gee_ndbi_scaled,0.016509934825398434
gee_slope_scaled,0.0147495615364615
urb_building_building_count_scaled,0.011815224115316342
derived_urban_heat_trap_index_scaled,0.0073741144146940015
vox_landcover_vegetation_ratio_scaled,0.00715780600336247
ss_water_mean_scaled,0.00715042713682884
gee_impervious_fraction_neighbor_std_150m_scaled,0.006735084595164377
gee_impervious_fraction_neighbor_mean_300m_scaled,0.005944082991609065
gee_vegetation_fraction_scaled,0.0055944600508383195
gee_distance_to_water_scaled,0.005483814430498404
gee_dense_vegetation_distance_scaled,0.004340142317627583
urb_network_betweenness_scaled,0.004286307847392946
x_scaled,0.0030012311962593365
gee_vegetation_fraction_300m_scaled,0.0029152338901329605
gee_tree_canopy_fraction_300m_scaled,0.0028642275557745536
bld_height_std_weighted_scaled,0.0028612486203551907
gee_tree_canopy_distance_scaled,0.0027234552155964366
gee_distance_to_coast_scaled,0.002695288728708337
vox_solar_direct_scaled,0.0025825129037110495
gee_builtup_fraction_remote_scaled,0.0025766858546982037
urb_building_footprint_proportion_scaled,0.002526460584640125
gee_modis_et_mean_scaled,0.0025234861603182063
gee_tree_canopy_cover_neighbor_mean_300m_scaled,0.002458143880503566
vox_canyon_heating_scaled,0.0022448907710267024
urb_has_network_data_scaled,0.0021700685810438236
bld_height_relative_scaled,0.0019519710362438218
bld_has_buildings_scaled,0.001837872170810417
vox_landcover_impervious_ratio_scaled,0.001759073770651774
gee_mndwi_scaled,0.0017161373062890657
derived_height_to_coverage_ratio_scaled,0.0016498224016433442
gee_era5_relative_humidity_mean_scaled,0.001633138268856813
urb_network_closeness_scaled,0.0015484652920515379
gee_modis_evaporative_fraction_scaled,0.0015418823119955525
gee_evi_scaled,0.0015403812443210148
bld_age_post1990_share_scaled,0.0010930194968852213
gee_era5_wind_speed_mean_scaled,0.0010860314041676899
bld_height_p90_scaled,0.0010310126097433428
bld_facade_orientation_entropy_scaled,0.001030667027456997
derived_ventilation_proxy_neighbor_mean_150m_scaled,0.0009991492784997699
gee_vegetation_fraction_90m_scaled,0.000968568871147186
y_scaled,0.0009580340086195105
urb_connectivity_beta_scaled,0.0009447008156808606
bld_area_weighted_height_scaled,0.0009351522723872218
gee_relative_elevation_scaled,0.0009312647536094219
urb_population_popsum_density_scaled,0.0008473329662252815
urb_canyon_ratio_scaled,0.0008400452883042723
bld_aspect_ratio_weighted_scaled,0.0008085662864518779
vox_solar_direct_ratio_scaled,0.0007465182355458215
vox_evapotranspiration_scaled,0.0006729302334904727
bld_building_count_scaled,0.0006092020404524083
vox_solar_daily_summer_scaled,0.0005704980327113536
gee_distance_to_green_scaled,0.0005455130375733901
bld_height_range_scaled,0.0005064773836148795
bld_area_weighted_building_year_scaled,0.000474200280013774
vox_tree_canopy_ratio_scaled,0.00047364875807357203
gee_canopy_height_mean_scaled,0.0004543975691753901
bld_wall_to_plan_ratio_scaled,0.0004386729307041651
vox_canyon_aspect_ratio_scaled,0.0004352174300619533
vox_building_height_mean_scaled,0.0004308356641704299
gee_tree_canopy_fraction_150m_scaled,0.0004289166352621613
vox_shadow_cooling_scaled,0.0004256050869616045
ss_vegetation_mean_scaled,0.00041199494486200895
bld_total_wall_surface_area_scaled,0.0004013078327955936
bld_height_p10_scaled,0.00034763455373927295
urb_street_orientation_index_scaled,0.000337837154949575
vox_building_volume_sum_scaled,0.0003147049521149971
vox_canopy_height_mean_scaled,0.00031217219242721874
bld_total_footprint_area_scaled,0.00031080917641776836
vox_svf_scaled,0.0003021819844994395
vox_gvi_scaled,0.00029317434998371215
derived_canyon_sky_openness_scaled,0.0002897693172441567
vox_canopy_volume_sum_scaled,0.00028724928529559574
vox_solar_winter_peak_scaled,0.00028211412585324506
bld_age_pre1950_share_scaled,0.00027105712393523805
vox_built_up_ratio_scaled,0.0002679549187504484
gee_paved_fraction_scaled,0.0002670903387309198
bld_thermal_mass_index_scaled,0.0002670119584128279
ss_beautiful_mean_scaled,0.00023215400360297698
ss_road_mean_scaled,0.00022626025479220713
vox_solar_scaled,0.00022571217659157191
bld_frontal_area_density_ew_scaled,0.00021996749538473747
gee_emissivity_std_scaled,0.00021244272304314838
ss_sky_mean_scaled,0.00020997074233789867
vox_urban_heat_island_scaled,0.0002017239124616568
vox_solar_contrast_scaled,0.00018871710950638722
gee_tree_canopy_fraction_90m_scaled,0.0001884938705993859
ss_depressing_mean_scaled,0.0001876260683673972
derived_ventilation_proxy_scaled,0.00018370407191627437
bld_canyon_width_mean_scaled,0.0001807459197672791
ss_image_count_scaled,0.00015611914403015326
vox_green_cooling_potential_scaled,0.00014743854394029825
ss_building_mean_scaled,0.00014609751953088804
urb_streetview_sky_view_scaled,0.00014559008148490584
ss_wealthy_mean_scaled,0.00013364714232040815
vox_solar_seasonal_ratio_scaled,0.00013003718693780424
bld_far_scaled,0.00012849368675293247
ss_sidewalk_mean_scaled,0.0001238452525720939
ss_safe_mean_scaled,0.0001195402055453627
ss_boring_mean_scaled,0.00011378124590956444
urb_streetview_visual_complexity_mean_scaled,0.00010276696851489557
bld_frontal_area_density_ns_scaled,0.00010051697810931889
bld_compactness_weighted_scaled,9.863043313041368e-05
urb_streetview_green_view_scaled,9.450321195382426e-05
urb_streetview_building_view_scaled,8.89560020237243e-05
urb_streetview_road_view_scaled,6.892576774270849e-05
vox_grid_resolution_m_scaled,0.0
