Feature,Mean |SHAP|
gee_ndbi_scaled,0.33646527
gee_impervious_fraction_300m_scaled,0.32143146
gee_distance_to_water_scaled,0.22613037
gee_water_fraction_scaled,0.18691309
gee_albedo_scaled,0.15504088
gee_vegetation_fraction_300m_scaled,0.14326441
gee_era5_relative_humidity_mean_scaled,0.1166395
gee_era5_wind_speed_mean_scaled,0.11601491
gee_impervious_fraction_neighbor_mean_300m_scaled,0.102083825
derived_urban_heat_trap_index_scaled,0.08876936
gee_modis_et_mean_scaled,0.0820655
derived_ventilation_proxy_neighbor_mean_150m_scaled,0.07847896
gee_relative_elevation_scaled,0.07010621
gee_modis_evaporative_fraction_scaled,0.067351624
urb_population_children_density_scaled,0.065983094
vox_landcover_impervious_ratio_scaled,0.04683883
gee_tree_canopy_cover_neighbor_mean_300m_scaled,0.04039694
gee_impervious_fraction_neighbor_std_150m_scaled,0.040228188
gee_emissivity_std_scaled,0.03842155
ss_water_mean_scaled,0.03825787
gee_tree_canopy_fraction_300m_scaled,0.035334315
gee_vegetation_fraction_90m_scaled,0.032817114
gee_dense_vegetation_distance_scaled,0.031552523
vox_landcover_vegetation_ratio_scaled,0.031092001
gee_tree_canopy_fraction_150m_scaled,0.030106507
gee_builtup_fraction_remote_scaled,0.029077953
vox_canyon_heating_scaled,0.027052218
gee_distance_to_coast_scaled,0.026570361
urb_node_count_scaled,0.01945741
urb_street_length_scaled,0.018707974
vox_solar_daily_summer_scaled,0.018059826
gee_evi_scaled,0.017888471
gee_mndwi_scaled,0.017177088
vox_solar_direct_scaled,0.016260521
gee_tree_canopy_distance_scaled,0.015997492
gee_distance_to_green_scaled,0.01586219
vox_solar_winter_peak_scaled,0.015684277
bld_aspect_ratio_weighted_scaled,0.015009113
urb_network_betweenness_scaled,0.014157974
gee_slope_scaled,0.013292189
urb_meshedness_scaled,0.01319975
bld_height_p90_scaled,0.012762209
urb_building_footprint_proportion_scaled,0.01118243
vox_tree_canopy_ratio_scaled,0.010641765
vox_canyon_aspect_ratio_scaled,0.010321055
vox_building_height_mean_scaled,0.010285888
bld_has_buildings_scaled,0.009804903
gee_land_cover_scaled,0.009470823
vox_shadow_cooling_scaled,0.009452774
bld_area_weighted_building_year_scaled,0.008775026
vox_gvi_scaled,0.008641869
bld_height_p10_scaled,0.008536174
gee_canopy_height_mean_scaled,0.008410081
bld_age_post1990_share_scaled,0.0072174026
bld_courtyard_fraction_scaled,0.007087284
vox_solar_direct_ratio_scaled,0.006958246
ss_vegetation_mean_scaled,0.006899369
bld_total_wall_surface_area_scaled,0.0064045284
vox_solar_seasonal_ratio_scaled,0.0062859235
bld_thermal_mass_index_scaled,0.0061419937
urb_canyon_ratio_scaled,0.0057019154
bld_wall_to_plan_ratio_scaled,0.005423702
gee_tree_canopy_fraction_90m_scaled,0.0053433813
derived_height_to_coverage_ratio_scaled,0.0052929195
vox_built_up_ratio_scaled,0.0052343574
vox_urban_heat_island_scaled,0.0051488495
bld_facade_orientation_entropy_scaled,0.0050660437
bld_area_weighted_height_scaled,0.0050533745
urb_building_building_count_scaled,0.0050461646
derived_ventilation_proxy_scaled,0.004736274
vox_canopy_height_mean_scaled,0.0046743695
vox_solar_scaled,0.0044739684
derived_canyon_sky_openness_scaled,0.004418737
gee_paved_fraction_scaled,0.00408449
vox_green_cooling_potential_scaled,0.0040828357
bld_age_1950_1990_share_scaled,0.0038550727
bld_building_count_scaled,0.0038342779
bld_age_pre1950_share_scaled,0.0035927398
ss_beautiful_mean_scaled,0.0035925806
urb_network_closeness_scaled,0.0032869466
gee_vegetation_fraction_scaled,0.0032718566
ss_building_mean_scaled,0.0031526403
vox_evapotranspiration_scaled,0.003083373
urb_connectivity_beta_scaled,0.0030403563
ss_wealthy_mean_scaled,0.0028204205
vox_canopy_volume_sum_scaled,0.0026407535
ss_road_mean_scaled,0.0026192511
urb_edge_count_scaled,0.0025537633
ss_sidewalk_mean_scaled,0.0023145073
urb_network_degree_scaled,0.0022727274
ss_sky_mean_scaled,0.0022223047
vox_solar_contrast_scaled,0.0019331091
bld_height_std_weighted_scaled,0.0018763309
bld_frontal_area_density_ns_scaled,0.0018394333
bld_far_scaled,0.0017805111
vox_building_volume_sum_scaled,0.0017643265
bld_height_range_scaled,0.0017100251
vox_svf_scaled,0.0016175989
ss_image_count_scaled,0.0015843146
urb_population_popsum_density_scaled,0.0015712685
ss_boring_mean_scaled,0.001539991
urb_street_orientation_index_scaled,0.0014782883
urb_has_network_data_scaled,0.0014476121
bld_height_relative_scaled,0.0013415392
bld_compactness_weighted_scaled,0.001251496
ss_safe_mean_scaled,0.00108899
bld_total_footprint_area_scaled,0.0009616463
ss_depressing_mean_scaled,0.0009211736
bld_canyon_width_mean_scaled,0.0006976565
bld_frontal_area_density_ew_scaled,0.0006940632
urb_streetview_road_view_scaled,0.00049520016
urb_streetview_visual_complexity_mean_scaled,0.00030858212
urb_streetview_green_view_scaled,0.00028024198
urb_streetview_sky_view_scaled,0.00018707017
urb_streetview_building_view_scaled,0.00016298858
vox_grid_resolution_m_scaled,0.0
