,missing_count
urb_population_children_density,37353
urb_streetview_green_view,37353
urb_canyon_ratio,37353
urb_connectivity_beta,37353
urb_meshedness,37353
urb_street_orientation_index,37353
urb_streetview_visual_complexity_mean,37353
urb_streetview_road_view,37353
urb_streetview_building_view,37353
urb_streetview_sky_view,37353
urb_node_count,37353
urb_building_footprint_proportion,37353
urb_edge_count,37353
urb_street_length,37353
urb_network_degree,37353
urb_network_betweenness,37353
urb_network_closeness,37353
urb_population_popsum_density,37353
urb_population_elderly_density,37353
urb_population_youth_density,37353
urb_intersection_density,37353
urb_building_building_count,37353
gee_distance_to_coast,33620
bld_area_weighted_building_year,24719
bld_height_std_weighted,12428
bld_compactness_weighted,12428
bld_aspect_ratio_weighted,12428
bld_height_relative,12428
bld_height_range,12428
bld_height_p90,12428
bld_height_p10,12428
bld_plan_porosity,12428
bld_frontal_area_index,12428
bld_building_coverage_ratio,12428
bld_area_weighted_height,12428
bld_bvd,12428
bld_far,12428
bld_total_wall_surface_area,12428
bld_wall_to_plan_ratio,12428
bld_surface_to_volume_ratio,12428
bld_age_pre1950_share,12428
bld_thermal_mass_index,12428
gee_roof_fraction,12428
bld_facade_orientation_entropy,12428
bld_canyon_width_mean,12428
derived_height_to_coverage_ratio,12428
derived_building_volume_density,12428
bld_total_footprint_area,12428
bld_courtyard_fraction,12428
bld_frontal_area_density_ns,12428
bld_age_post1990_share,12428
bld_age_1950_1990_share,12428
bld_frontal_area_density_ew,12428
vox_solar_contrast,3899
vox_shadow_cooling,1670
vox_solar_availability,1670
vox_green_cooling_potential,1670
vox_solar_diffuse,1670
vox_svf,1670
vox_gvi,1670
vox_solar,1670
vox_solar_daily_summer,1670
vox_building_solar_exposure,1670
vox_solar_direct,1670
vox_solar_winter_peak,1670
vox_solar_seasonal_ratio,1670
vox_solar_annual_kwh,1670
vox_urban_heat_island,1670
vox_evapotranspiration,1670
vox_canyon_heating,288
vox_solar_direct_ratio,0
vox_tree_canopy_ratio,0
vox_building_height_mean,0
vox_building_height_min,0
vox_canopy_height_mean,0
vox_canopy_base_mean,0
gee_vegetation_fraction_300m,0
vox_canopy_thickness_mean,0
vox_built_up_ratio,0
bld_building_count,0
vox_building_volume_sum,0
vox_canopy_volume_sum,0
derived_ventilation_proxy_neighbor_mean_150m,0
gee_vegetation_fraction_neighbor_mean_300m,0
gee_vegetation_fraction_neighbor_mean_150m,0
gee_tree_canopy_cover_neighbor_mean_300m,0
gee_tree_canopy_cover_neighbor_mean_150m,0
gee_impervious_fraction_neighbor_mean_300m,0
gee_impervious_fraction_neighbor_std_150m,0
gee_impervious_fraction_neighbor_mean_150m,0
derived_canyon_sky_openness,0
derived_vegetation_cooling_saturation,0
derived_urban_heat_trap_index,0
derived_radiative_vpd_interaction,0
derived_impervious_canopy_balance,0
derived_street_centrality_proxy,0
derived_ventilation_proxy,0
derived_impervious_heat_potential,0
derived_green_cooling_potential,0
gee_vegetation_fraction_90m,0
y,0
x,0
vox_grid_resolution_m,0
vox_landcover_vegetation_ratio,0
vox_landcover_impervious_ratio,0
vox_canyon_aspect_ratio,0
vox_thermal_mass_index,0
gee_vegetation_fraction_150m,0
gee_era5_wind_speed_mean,0
gee_impervious_fraction_300m,0
gee_distance_to_green,0
gee_builtup_fraction_remote,0
gee_bare_soil_index,0
gee_albedo,0
gee_ndvi,0
gee_ndbi,0
gee_mndwi,0
gee_evi,0
urb_has_network_data,0
ss_has_streetscape_data,0
ss_sky_view_index_mean,0
ss_green_view_index_mean,0
ss_depressing_mean,0
ss_boring_mean,0
ss_lively_mean,0
ss_wealthy_mean,0
ss_safe_mean,0
ss_beautiful_mean,0
ss_water_mean,0
ss_sky_mean,0
ss_vegetation_mean,0
ss_sidewalk_mean,0
ss_road_mean,0
ss_building_mean,0
ss_image_count,0
bld_has_buildings,0
gee_canopy_height_mean,0
gee_distance_to_water,0
gee_impervious_fraction_150m,0
gee_emissivity_mean,0
gee_impervious_fraction_90m,0
gee_tree_canopy_fraction_300m,0
gee_tree_canopy_fraction_150m,0
gee_tree_canopy_fraction_90m,0
gee_dense_vegetation_proximity,0
gee_dense_vegetation_distance,0
gee_tree_canopy_proximity,0
gee_tree_canopy_distance,0
gee_impervious_fraction,0
gee_paved_fraction,0
gee_water_fraction,0
gee_vegetation_fraction,0
gee_urban_radiative_index,0
gee_tree_canopy_cover,0
gee_slope,0
gee_roof_albedo_proxy,0
gee_relative_elevation,0
gee_modis_pet_mean,0
gee_modis_evaporative_fraction,0
gee_modis_et_mean,0
gee_land_cover,0
gee_era5_wind_speed_p95,0
gee_era5_vpd_mean,0
gee_era5_relative_humidity_mean,0
gee_emissivity_std,0
derived_impervious_spatial_contrast,0
