fold,city,auc,f1,precision,recall
1,Amsterdam,0.9940078309213229,0.7941176470588235,0.6835443037974683,0.9473684210526315
1,Athens,0.9469832229761677,0.8018348623853211,0.7152209492635024,0.9123173277661796
1,Barcelona,0.9750440917107585,0.5929203539823009,0.43506493506493504,0.9305555555555556
1,Berlin,0.8750497066435982,0.36835278858625164,0.23127035830618892,0.9044585987261147
1,Madrid,0.9887123745819398,0.4639175257731959,0.30405405405405406,0.9782608695652174
1,Paris,0.9310074614152839,0.3218390804597701,0.19811320754716982,0.8571428571428571
2,Amsterdam,,0.0,0.0,0.0
2,Athens,0.8862996354919956,0.4264705882352941,0.2826510721247563,0.8682634730538922
2,Barcelona,0.9029887329829468,0.607773851590106,0.5014577259475219,0.7713004484304933
2,Berlin,,0.0,0.0,0.0
2,Madrid,1.0,0.5,0.3333333333333333,1.0
2,Paris,0.9977950713359274,0.08333333333333333,0.043478260869565216,1.0
3,Amsterdam,0.9726100878061663,0.74375,0.6329787234042553,0.9015151515151515
3,Athens,0.918573611818645,0.6241457858769932,0.4756944444444444,0.9072847682119205
3,Barcelona,0.861179686589462,0.5686746987951807,0.5339366515837104,0.6082474226804123
3,Berlin,0.80624308426999,0.5888,0.467005076142132,0.7965367965367965
3,Madrid,0.9462933737417851,0.7352941176470589,0.6993006993006993,0.7751937984496124
3,Paris,0.9982258629752935,0.8854166666666666,0.9659090909090909,0.8173076923076923
4,Amsterdam,0.9395276988636363,0.7688243064729194,0.665903890160183,0.909375
4,Athens,0.938489847715736,0.794044665012407,0.7766990291262136,0.8121827411167513
4,Barcelona,0.9966397099832683,0.6099290780141844,0.44329896907216493,0.9772727272727273
4,Berlin,0.7564330970105819,0.442159383033419,0.3573407202216066,0.5797752808988764
4,Madrid,0.9344914596273293,0.6902654867256637,0.582089552238806,0.8478260869565217
4,Paris,0.8475593372145096,0.4290909090909091,0.3064935064935065,0.7151515151515152
5,Amsterdam,0.965881709042058,0.8248490077653149,0.7515723270440252,0.9139579349904398
5,Athens,0.9172046234710299,0.5944272445820433,0.4378563283922463,0.9253012048192771
5,Barcelona,0.9400737902653611,0.5641025641025641,0.5092592592592593,0.632183908045977
5,Berlin,0.9679280001887283,0.6919831223628692,0.5857142857142857,0.845360824742268
5,Madrid,0.5105372206600562,0.2,0.5142857142857142,0.12413793103448276
5,Paris,0.9841958345869689,0.8328611898016998,0.7461928934010152,0.9423076923076923
