threshold,precision,recall,f1
0.05,0.29856027330405077,0.9256667297143938,0.4514968402601596
0.075,0.360622724808303,0.8806506525439758,0.5117045829212001
0.1,0.40047919070015087,0.8536031776054473,0.5451799951679149
0.125,0.430407062285434,0.8299602799319085,0.5668518279292081
0.15,0.4572132376566349,0.8074522413466995,0.5838347921225383
0.175,0.4811483915600138,0.7892944959334216,0.5978510028653296
0.2,0.5004938271604938,0.7667864573482126,0.6056622096063345
0.225,0.517132729421032,0.7450349914885568,0.6105083694978302
0.25,0.5324022346368715,0.7210138074522413,0.6125170723869205
0.275,0.5474463360473724,0.6994514847739739,0.6141836904168743
0.3,0.5629989043668806,0.6803480234537544,0.6161356628982528
0.325,0.579000167196121,0.6550028371477208,0.6146609868654597
0.35,0.5989276139410188,0.63381880083223,0.6158794339275868
0.375,0.6181887950882579,0.6094193304331379,0.6137727402609773
0.4,0.6351378958120532,0.5880461509362588,0.6106855234727951
0.45,0.6718455743879472,0.5398146396822394,0.5986366019926587
0.5,0.7014844804318489,0.49158312842822016,0.5780693950177936
